Question,Answer,Source,Verb,Target
How are air pollution and reduction related?,air pollution cause reduction,air pollution,cause,reduction
What does air pollution cause?,reduction,air pollution,cause,reduction
Who or what causes reduction?,air pollution,air pollution,cause,reduction
What is the relationship between blood cells and increased level?,blood cells form increased level,blood cells,form,increased level
Explain the connection between blood cells and increased level.,blood vessels,blood cells,form,increased level
How are blood cells and increased level related?,blood cells form increased level,blood cells,form,increased level
What does blood cells form?,increased level,blood cells,form,increased level
Who or what forms increased level?,blood cells,blood cells,form,increased level
What is the relationship between interview and at least 10 families?,is a list of,interview,interview,at least 10 families
Explain the connection between interview and at least 10 families.,interview at least 10 families,interview,interview,at least 10 families
How are interview and at least 10 families related?,interview,interview,interview,at least 10 families
What interviews at least 10 families?,interview,interview,interview,at least 10 families
Who or what interviews at least 10 families?,interview,interview,interview,at least 10 families
What is the relationship between carbon monoxide and disturbance?,cause,carbon monoxide,cause,disturbance
Explain the connection between carbon monoxide and disturbance.,carbon monoxide causes carbon monoxide to build up in the atmosphere,carbon monoxide,cause,disturbance
How are carbon monoxide and disturbance related?,carbon monoxide cause disturbance,carbon monoxide,cause,disturbance
What does carbon monoxide cause?,disturbance,carbon monoxide,cause,disturbance
Who or what causes disturbance?,carbon monoxide,carbon monoxide,cause,disturbance
What is the relationship between the offsprings and their parents?,resemble,the offsprings,resemble,their parents
Explain the connection between the offsprings and their parents.,the offsprings resemble their parents,the offsprings,resemble,their parents
How are the offsprings and their parents related?,resemble,the offsprings,resemble,their parents
What does the offsprings resemble?,their parents,the offsprings,resemble,their parents
Who or what resembles their parents?,offsprings,the offsprings,resemble,their parents
What is the relationship between the large steam engines and generator?,engine,the large steam engines,run,generator
Explain the connection between the large steam engines and generator.,engine,the large steam engines,run,generator
How are the large steam engines and generator related?,engine,the large steam engines,run,generator
What does the large steam engines run?,generator,the large steam engines,run,generator
What is the relationship between positive thinking and help?,is a measure of how well a person thinks,positive thinking,check,help
Explain the connection between positive thinking and help.,positive thinking,positive thinking,check,help
How are positive thinking and help related?,positive thinking,positive thinking,check,help
What does positive thinking check?,positive thinking check help,positive thinking,check,help
Who or what checks help?,positive thinking,positive thinking,check,help
What is the relationship between mention and its types?,is a list of,mention,mention,its types
Explain the connection between mention and its types.,type,mention,mention,its types
How are mention and its types related?,type,mention,mention,its types
Who or what mentions its types?,mention,mention,mention,its types
What is the relationship between roots cytokinin and tissue culture?,incubation,roots cytokinin,develop,tissue culture
Explain the connection between roots cytokinin and tissue culture.,cytokinin is a metabolite of a metabolite of a metabolite of a metabolite,roots cytokinin,develop,tissue culture
How are roots cytokinin and tissue culture related?,roots cytokinin develop tissue culture,roots cytokinin,develop,tissue culture
What does roots cytokinin develop?,tissue culture,roots cytokinin,develop,tissue culture
Who or what develops tissue culture?,roots,roots cytokinin,develop,tissue culture
What is the relationship between toothpaste and the acid?,neutralize,toothpaste,neutralize,the acid
Explain the connection between toothpaste and the acid.,neutralizes it,toothpaste,neutralize,the acid
How are toothpaste and the acid related?,neutralize,toothpaste,neutralize,the acid
Who or what neutralise the acid?,toothpaste,toothpaste,neutralize,the acid
What is the relationship between the acids rain and monuments?,corroded,the acids rain,corrode,monuments
Explain the connection between the acids rain and monuments.,monuments are exposed to the acid rain,the acids rain,corrode,monuments
How are the acids rain and monuments related?,corrode,the acids rain,corrode,monuments
What does the acids rain corrode?,monuments,the acids rain,corrode,monuments
Who or what comrades monuments?,the acids rain,the acids rain,corrode,monuments
What is the relationship between salts and copper sulphate?,is a salt,salts,like,copper sulphate
Explain the connection between salts and copper sulphate.,salts are a type of sulfate,salts,like,copper sulphate
How are salts and copper sulphate related?,salts and copper sulphate are related,salts,like,copper sulphate
Who or what likes copper sulphate?,salts,salts,like,copper sulphate
What is the relationship between grease and agent?,is a mixture of two substances,grease,cleanse,agent
Explain the connection between grease and agent.,is a lubricant,grease,cleanse,agent
How are grease and agent related?,grease is a chemical,grease,cleanse,agent
